stock_id,date,open,high,low,close,volume
3037,2016-07-14,13.55,13.75,13.5,13.65,3954826
3037,2016-07-15,13.65,13.95,13.6,13.75,6676359
3037,2016-07-18,13.85,14.1,13.8,14.0,5409156
3037,2016-07-19,14.0,14.0,13.8,13.85,5171601
3037,2016-07-20,13.8,14.0,13.8,13.95,3349721
3037,2016-07-21,14.0,14.25,13.9,14.1,5432210
3037,2016-07-22,14.15,14.2,13.95,14.0,3851318
3037,2016-07-25,14.1,14.25,14.0,14.1,2863554
3037,2016-07-26,14.05,14.1,14.0,14.0,3857343
3037,2016-07-27,14.1,14.15,14.0,14.05,5692753
3037,2016-07-28,13.85,13.9,13.6,13.6,6005593
3037,2016-07-29,13.55,13.65,13.3,13.6,7106217
3037,2016-08-01,13.5,13.6,13.4,13.5,5780224
3037,2016-08-02,13.5,13.5,13.2,13.2,7559637
3037,2016-08-03,13.15,13.25,13.0,13.05,9892913
3037,2016-08-04,13.05,13.2,13.0,13.05,5707651
3037,2016-08-05,13.1,13.2,13.1,13.15,3933322
3037,2016-08-08,13.2,13.25,13.1,13.1,2733422
3037,2016-08-09,13.1,13.2,12.9,13.0,4448843
3037,2016-08-10,13.0,13.05,12.8,12.85,5845225
3037,2016-08-11,12.8,12.9,12.75,12.85,3563084
3037,2016-08-12,12.9,13.0,12.8,13.0,3109923
3037,2016-08-15,13.0,13.05,12.9,13.05,2428029
3037,2016-08-16,13.1,13.1,12.9,12.95,2750179
3037,2016-08-17,12.95,13.0,12.85,12.85,2319593
3037,2016-08-18,12.9,13.35,12.85,13.1,7153121
3037,2016-08-19,13.2,13.25,13.0,13.05,2788723
3037,2016-08-22,13.05,13.05,12.9,12.9,1387017
3037,2016-08-23,13.0,13.2,13.0,13.05,2525222
3037,2016-08-24,13.1,13.15,12.95,13.05,2429954
3037,2016-08-25,13.1,13.2,13.05,13.2,2488612
3037,2016-08-26,13.2,13.2,13.1,13.15,1217792
3037,2016-08-29,13.15,13.3,13.1,13.1,1843693
3037,2016-08-30,13.15,13.2,13.0,13.0,2250521
3037,2016-08-31,13.05,13.05,12.95,13.0,1921545
3037,2016-09-01,13.0,13.15,12.95,13.0,2970575
3037,2016-09-02,13.05,13.1,12.85,12.85,3866866
3037,2016-09-05,13.0,13.0,12.8,12.85,2927754
3037,2016-09-06,12.95,13.45,12.9,13.3,12548970
3037,2016-09-07,13.35,13.35,13.2,13.35,3453832
3037,2016-09-08,13.35,13.7,13.35,13.5,7277270
3037,2016-09-09,13.45,13.5,13.25,13.35,4280177
3037,2016-09-10,13.1,13.3,13.05,13.2,2317554
3037,2016-09-12,13.2,13.25,13.05,13.05,2624008
3037,2016-09-13,13.15,13.2,13.0,13.05,1988397
3037,2016-09-14,13.0,13.1,12.85,12.85,2762668
3037,2016-09-19,13.0,13.1,12.95,13.0,1820947
3037,2016-09-20,13.1,13.1,12.95,13.05,1473234
3037,2016-09-21,13.05,13.35,13.05,13.25,2884498
3037,2016-09-22,13.35,13.35,13.2,13.3,1918882
3037,2016-09-23,13.4,13.45,13.3,13.4,3360476
3037,2016-09-26,13.4,13.5,13.25,13.35,1844577
3037,2016-09-29,13.45,13.45,13.2,13.25,3983314
3037,2016-09-30,13.2,13.3,13.05,13.25,2317785
3037,2016-10-03,13.25,13.3,13.1,13.1,1099341
3037,2016-10-04,13.1,13.5,13.1,13.4,4704682
3037,2016-10-05,13.45,13.45,13.25,13.35,2205551
3037,2016-10-06,13.45,13.45,13.25,13.35,2802326
3037,2016-10-07,13.35,13.35,13.2,13.25,1928845
3037,2016-10-11,13.15,13.2,12.75,12.85,6869110
3037,2016-10-12,12.85,13.05,12.75,12.9,3383436
3037,2016-10-13,12.95,13.0,12.85,12.9,1681144
3037,2016-10-14,12.95,12.95,12.7,12.7,2461410
3037,2016-10-17,12.7,12.7,12.55,12.7,1705503
3037,2016-10-18,12.7,12.9,12.7,12.9,1572902
3037,2016-10-19,12.95,12.95,12.75,12.8,1809148
3037,2016-10-20,12.85,12.95,12.75,12.8,1920101
3037,2016-10-21,12.85,13.05,12.8,12.85,3156073
3037,2016-10-24,12.95,13.15,12.9,13.05,4047523
3037,2016-10-25,13.15,13.15,13.0,13.05,1879115
3037,2016-10-26,13.05,13.15,13.0,13.05,1485868
3037,2016-10-27,13.05,13.2,13.05,13.05,1779898
3037,2016-10-28,13.15,13.15,12.95,12.95,1255537
3037,2016-10-31,12.8,13.05,12.75,13.05,3991066
3037,2016-11-01,12.95,13.0,12.7,12.75,4021420
3037,2016-11-02,12.65,12.75,12.55,12.55,2406819
3037,2016-11-03,12.6,12.7,12.2,12.3,4066290
3037,2016-11-04,12.3,12.35,12.15,12.2,2422354
3037,2016-11-07,12.25,12.3,12.15,12.15,2097788
3037,2016-11-08,12.2,12.25,12.05,12.1,1647112
3037,2016-11-09,12.15,12.2,11.55,11.6,4978432
3037,2016-11-10,11.85,11.95,11.8,11.9,2014788
3037,2016-11-11,11.8,11.85,11.4,11.5,3031606
3037,2016-11-14,11.5,11.6,11.35,11.45,1765105
3037,2016-11-15,11.3,11.55,11.3,11.45,1981801
3037,2016-11-16,11.55,11.6,11.5,11.6,2562245
3037,2016-11-17,11.65,11.75,11.55,11.55,1819389
3037,2016-11-18,11.7,11.9,11.6,11.85,2495176
3037,2016-11-21,11.85,12.05,11.85,12.0,1709896
3037,2016-11-22,12.0,12.25,11.95,12.1,4529719
3037,2016-11-23,12.15,12.25,12.0,12.05,1712461
3037,2016-11-24,12.1,12.1,12.0,12.05,820815
3037,2016-11-25,12.15,12.15,11.8,11.85,2337123
3037,2016-11-28,11.9,12.05,11.9,11.95,1202677
3037,2016-11-29,11.9,12.1,11.9,12.0,1420508
3037,2016-11-30,12.05,12.1,11.95,11.95,1822736
3037,2016-12-01,12.0,12.35,12.0,12.2,3826478
3037,2016-12-02,12.2,12.3,12.1,12.3,1800407
3037,2016-12-05,12.35,12.35,12.1,12.15,1565921
3037,2016-12-06,12.15,12.25,12.1,12.15,1415264
3037,2016-12-07,12.25,12.25,12.05,12.2,1627877
3037,2016-12-08,12.25,12.3,12.15,12.2,2140001
3037,2016-12-09,12.2,12.25,12.15,12.2,1455645
3037,2016-12-12,12.25,12.45,12.2,12.35,3097997
3037,2016-12-13,12.4,12.55,12.3,12.35,2576349
3037,2016-12-14,12.4,12.55,12.35,12.35,2186077
3037,2016-12-15,12.35,12.5,12.35,12.5,1695348
3037,2016-12-16,12.55,12.8,12.5,12.6,4119552
3037,2016-12-19,12.6,12.6,12.3,12.3,2317032
3037,2016-12-20,12.35,12.35,12.15,12.2,1532856
3037,2016-12-21,12.25,12.4,12.2,12.25,1321485
3037,2016-12-22,12.35,12.4,12.25,12.25,1015759
3037,2016-12-23,12.3,12.4,12.25,12.25,880278
3037,2016-12-26,12.3,12.4,12.3,12.35,985301
3037,2016-12-27,12.3,12.4,12.25,12.3,890767
3037,2016-12-28,12.35,12.45,12.3,12.45,1165368
3037,2016-12-29,12.35,12.4,12.3,12.3,980875
3037,2016-12-30,12.35,12.45,12.3,12.4,1505974
3037,2017-01-03,12.4,12.45,12.3,12.35,1241136
3037,2017-01-04,12.4,12.6,12.4,12.55,2092368
3037,2017-01-05,12.6,12.75,12.55,12.65,2741021
3037,2017-01-06,12.75,12.8,12.65,12.7,2091219
3037,2017-01-09,12.75,12.75,12.5,12.5,1402862
3037,2017-01-10,12.5,12.55,12.35,12.35,1256294
3037,2017-01-11,12.4,12.45,12.35,12.45,1102548
3037,2017-01-12,12.5,12.75,12.45,12.6,4684602
3037,2017-01-13,12.6,12.6,12.5,12.55,961068
3037,2017-01-16,12.55,12.55,12.25,12.3,2070780
3037,2017-01-17,12.3,12.4,12.25,12.35,1401207
3037,2017-01-18,12.35,12.4,12.25,12.3,1382313
3037,2017-01-19,12.3,12.4,12.2,12.25,1979712
3037,2017-01-20,12.25,12.35,12.25,12.25,1346375
3037,2017-01-23,12.35,12.5,12.3,12.35,2103036
3037,2017-01-24,12.4,12.4,12.2,12.3,1997856
3037,2017-02-02,12.3,12.95,12.3,12.75,6632629
3037,2017-02-03,12.9,13.35,12.85,13.35,11100567
3037,2017-02-06,13.5,13.7,13.3,13.35,8292491
3037,2017-02-07,13.35,13.35,13.2,13.25,2526192
3037,2017-02-08,13.3,13.7,13.25,13.55,7554950
3037,2017-02-09,13.55,13.65,13.35,13.45,4278104
3037,2017-02-10,13.45,13.55,13.35,13.35,2744765
3037,2017-02-13,13.35,13.45,13.2,13.3,2812675
3037,2017-02-14,13.3,13.6,13.2,13.45,4589188
3037,2017-02-15,13.55,13.9,13.5,13.7,13184841
3037,2017-02-16,13.9,14.0,13.7,13.75,7314116
3037,2017-02-17,13.75,13.85,13.6,13.75,3264180
3037,2017-02-18,13.8,13.95,13.7,13.8,4213769
3037,2017-02-20,13.95,14.45,13.85,14.35,17391528
3037,2017-02-21,14.25,14.3,13.9,14.0,6774903
3037,2017-02-22,14.1,14.25,13.9,13.95,7046710
3037,2017-02-23,14.0,14.4,13.95,14.25,12765438
3037,2017-02-24,14.2,14.35,14.1,14.35,4922528
3037,2017-03-01,14.35,14.35,13.95,14.05,7289435
3037,2017-03-02,14.15,14.3,13.9,14.0,5528757
3037,2017-03-03,14.1,14.15,14.0,14.0,2983173
3037,2017-03-06,14.05,14.1,13.9,13.9,3043114
3037,2017-03-07,13.95,14.15,13.95,14.1,5598523
3037,2017-03-08,14.2,14.45,14.2,14.25,7315752
3037,2017-03-09,14.25,14.3,14.0,14.2,3925117
