stock_id,date,dividend_yield,pe_ratio,pb_ratio
2454,2022-06-01,8.07,12.09,3.17
2454,2022-06-02,8.13,12.0,3.14
2454,2022-06-06,8.07,12.09,3.17
2454,2022-06-07,8.2,11.89,3.12
2454,2022-06-08,7.85,12.42,3.26
2454,2022-06-09,7.9,12.34,3.24
2454,2022-06-10,7.85,12.42,3.26
2454,2022-06-13,8.23,11.85,3.11
2454,2022-06-14,8.3,11.76,3.08
2454,2022-06-15,8.26,11.81,3.1
2454,2022-06-16,8.36,11.66,3.06
2454,2022-06-17,8.78,11.1,2.91
2454,2022-06-20,8.69,11.22,2.94
2454,2022-06-21,8.41,11.6,3.04
2454,2022-06-22,9.05,10.78,2.83
2454,2022-06-23,10.6,9.21,2.41
2454,2022-06-24,10.9,8.95,2.35
2454,2022-06-27,10.77,9.06,2.37
2454,2022-06-28,11.21,8.7,2.28
2454,2022-06-29,11.04,8.83,2.31
2454,2022-06-30,11.21,8.7,2.28
