feature,n_true,n_false,median_diff%,p_raw,note,p_holm,significant_holm
wave_1,981,3578,-0.2695,0.009293201420566393,,0.102225,False
is_volume_burst,1025,3534,-0.2845,0.020683096591188117,,0.206831,False
wave_C,81,4478,0.8969,0.14642078816686657,,1.0,False
wave_B,135,4424,0.5086,0.1685246157430378,,1.0,False
wave_A,93,4466,-0.4963,0.3161684946924238,,1.0,False
wave_3,836,3723,0.1529,0.40451054815671084,,1.0,False
wave_unknown,506,4053,0.1306,0.50713934281781,,1.0,False
wave_5,108,4451,-0.2262,0.5507621802297027,,1.0,False
wave_2,1588,2971,-0.0309,0.5941618114956215,,1.0,False
mv_mid_veto_active,2402,2157,-0.024,0.623388065398184,,1.0,False
wave_4,231,4328,-0.0851,0.6773269951207521,,1.0,False
