feature,mean_ic,t_p_raw,n_days_sampled,p_holm,significant_holm
mv_long_direction,-0.0306,0.0643189314555609,415,1.0,False
ret_5d,-0.0329,0.07298459718711556,438,1.0,False
ret_5d_rank,-0.0329,0.07298459718711556,438,1.0,False
ret_5d_excess,-0.0323,0.07938738326189536,437,1.0,False
macd_hist,-0.0184,0.27760060430633754,438,1.0,False
ret_20d,-0.0163,0.37534637439159096,435,1.0,False
ret_20d_rank,-0.0163,0.37534637439159096,435,1.0,False
mv_short_direction,-0.0158,0.37968397580702695,413,1.0,False
ret_20d_excess,-0.0155,0.4002452172929691,434,1.0,False
mv_long,0.0131,0.4270673012900055,435,1.0,False
mv_bias,-0.0115,0.4952351397875147,435,1.0,False
mv_bias_rank,-0.0115,0.4952351397875147,435,1.0,False
rsi_14,-0.0097,0.5789046022193561,436,1.0,False
rsi_14_rank,-0.0097,0.5789046022193561,436,1.0,False
macd_signal,0.0093,0.585346842482316,438,1.0,False
mv_mid,0.0086,0.6014942271124774,436,1.0,False
realized_vol_20d,-0.0074,0.7042474403866971,435,1.0,False
mv_short,-0.006,0.710600792870913,438,1.0,False
vol_regime_ratio,0.0057,0.7378345380942849,435,1.0,False
macd,0.0057,0.7444025900872022,438,1.0,False
realized_vol_5d,-0.0043,0.8176505615508445,438,1.0,False
mv_mid_direction,0.0007,0.9672275258762536,410,1.0,False
