feature,r,p_raw,n,note,p_holm,significant_holm
realized_vol_20d,0.0546,7.298539280462259e-05,5267,,0.002409,True
ret_5d,-0.0448,0.0010879431641180732,5325,,0.034814,True
rsi_14,-0.0446,0.0011014299045536751,5353,,0.034814,True
ret_5d_rank,-0.0372,0.006600857327114059,5325,,0.198026,False
ret_20d,-0.0334,0.015178127018210325,5289,,0.440166,False
realized_vol_5d,0.0328,0.016729531784013586,5319,,0.468427,False
wave_1,-0.0324,0.017847344316156834,5353,,0.481878,False
mv_long_direction,-0.0274,0.044990855003570175,5353,,1.0,False
is_volume_burst,-0.025,0.06790395869158268,5353,,1.0,False
mv_bias,-0.025,0.06849402147838415,5294,,1.0,False
wave_C,0.0214,0.11673314631453992,5353,,1.0,False
vol_regime_ratio,-0.0195,0.15722221503774977,5267,,1.0,False
ret_5d_excess,-0.0178,0.19568342637049044,5313,,1.0,False
ret_20d_rank,-0.0151,0.2712600311790646,5289,,1.0,False
mv_bias_rank,-0.0148,0.28107413465876463,5294,,1.0,False
wave_B,0.0142,0.2993720824121448,5353,,1.0,False
wave_5,-0.0125,0.35984679117551316,5353,,1.0,False
wave_4,0.0122,0.37097457014078883,5353,,1.0,False
wave_3,0.0117,0.39406231638920314,5353,,1.0,False
mv_short_direction,-0.0103,0.4490505289586437,5353,,1.0,False
ret_20d_excess,0.0088,0.5227912043064532,5277,,1.0,False
mv_long,0.0083,0.5445238741020837,5294,,1.0,False
mv_mid,0.0066,0.6321510465914695,5315,,1.0,False
rsi_14_rank,-0.0063,0.6459553788154101,5353,,1.0,False
mv_mid_direction,-0.0059,0.6661744340432192,5353,,1.0,False
wave_2,0.0058,0.6692127863824993,5353,,1.0,False
mv_mid_veto_active,0.0056,0.6833681563104456,5353,,1.0,False
macd_hist,-0.0046,0.7381171477996545,5353,,1.0,False
wave_A,0.0031,0.8180835057315449,5353,,1.0,False
wave_unknown,-0.0017,0.9028102318350624,5353,,1.0,False
macd_signal,0.0015,0.9130754521196546,5353,,1.0,False
mv_short,-0.0013,0.9259696295891351,5330,,1.0,False
macd,0.0,0.9974579102595763,5353,,1.0,False
